position COMBINED_rate(cM/Mb) Genetic_Map(cM)
84025 0.2902814785 0.1282238609
84374 0.3081718055 0.1283251691
84454 0.3365643935 0.1283498228
84568 0.3626668008 0.1283881912
84721 0.3866969591 0.1284436792
85310 0.3866682745 0.1286714437
85454 0.3951167671 0.1287271239
85900 0.4130003056 0.1289033460
85933 0.4277027383 0.1289169750
86004 0.4540166613 0.1289473419
86125 0.4662480255 0.1290022779
86148 0.4734980810 0.1290130016
86460 0.4734980810 0.1291607330
86555 0.4734980810 0.1292057154
87154 0.4734980810 0.1294893407
87173 0.4734980810 0.1294983372
87362 0.2142716830 0.1295878283
87409 0.2142716830 0.1295978991
87419 0.2142716830 0.1296000418
87456 0.2142716830 0.1296079699
87576 0.2142716830 0.1296336825
87745 0.1221370622 0.1296698944
87841 0.0675434160 0.1296816195
88086 0.0435419656 0.1296981677
88171 0.0435419656 0.1297018687
88280 0.0352633466 0.1297066148
88505 0.0352633466 0.1297145491
88506 0.0352633466 0.1297145843
88695 0.0352633466 0.1297212491
91723 0.0352808611 0.1298280265
91754 0.1896444057 0.1298291202
91918 2.1583956426 0.1298602219
92382 5.8067478383 0.1308617175
92551 4.5461644744 0.1318430579
92570 4.5250623052 0.1319294350
92899 0.2921696121 0.1334181805
93413 0.2927270207 0.1335683557
93853 0.2927227472 0.1336971556
94951 0.2927227472 0.1340185651
94995 0.2959334201 0.1340314449
95685 0.2967826379 0.1342356390
96084 0.2969635793 0.1343540553
97407 0.2980651400 0.1347469381
97975 0.2980730807 0.1349162391
99330 0.3002102989 0.1353201281
101267 0.3662596569 0.1359016354
108533 0.3422382602 0.1385628781
109736 0.3614402879 0.1389745907
110683 0.3245699383 0.1393168747
112083 0.1879206705 0.1397712726
112284 0.1128427519 0.1398090447
112436 0.0756488365 0.1398261968
113802 0.0761656146 0.1399295331
113832 0.0774545231 0.1399318180
114163 0.0778995143 0.1399574555
114188 0.0780797338 0.1399594030
115900 0.0952012604 0.1400930755
116020 0.1481008773 0.1401044996
116241 0.1230201589 0.1401372299
116466 0.1061081284 0.1401649095
116728 0.1080226113 0.1401927098
117701 0.2939897202 0.1402978158
117995 0.8381481119 0.1403842488
118589 0.6206397309 0.1408821087
118642 0.2306038350 0.1409150027
118814 0.1867382968 0.1409546665
118940 0.1758090517 0.1409781955
119189 0.2896566805 0.1410219720
119822 0.2896559931 0.1412053247
119839 0.2896142160 0.1412102488
121928 6.3978820841 0.1418152529
124618 6.4023235908 0.1590255557
126856 0.4176415528 0.1733539559
128188 0.4175136425 0.1739102545
129967 0.4186064034 0.1746530112
130013 0.4204659296 0.1746722671
131222 0.4289973454 0.1751806104
133844 0.4691615285 0.1763054415
133926 0.5159588822 0.1763439127
134405 0.5618903590 0.1765910570
136030 0.5550101680 0.1775041289
136107 0.5405274787 0.1775468647
136318 0.5285989594 0.1776609159
137520 0.5295417460 0.1782962919
139797 2.9401090955 0.1795020585
139809 5.4991742678 0.1795373398
140069 5.6148962361 0.1809671251
141321 4.2918951125 0.1879969752
142282 2.7701701236 0.1921214864
142527 2.0846484315 0.1928001780
143171 0.3138166915 0.1941426916
145162 0.3119992348 0.1947675007
145675 0.3075337783 0.1949275563
145804 0.3061661796 0.1949672281
148142 0.3058274308 0.1956830447
152242 0.3060937287 0.1969369371
154402 0.5434603725 0.1975980996
155903 0.6133144443 0.1984138336
156550 0.6585762880 0.1988106480
156685 0.6988295601 0.1988995558
157404 2.8357640786 0.1994020143
157851 2.8986170025 0.2006696008
158061 2.9119924978 0.2012783104
158306 2.9273654123 0.2019917486
158634 2.9536128231 0.2029519244
159509 2.9533706371 0.2055363356
161423 2.3598702951 0.2111890870
161523 0.8053128613 0.2114250741
164811 1.8651232877 0.2140729428
165074 2.3072967506 0.2145634702
165281 3.0725511791 0.2150410806
166783 2.7793456619 0.2196560525
167011 2.4942693454 0.2202897433
167662 0.1671828631 0.2219135126
168262 0.1670502286 0.2220138224
168290 0.1560790453 0.2220184998
168303 0.1463198628 0.2220205288
168757 0.1772450617 0.2220869580
169018 1.6209867736 0.2221332190
169308 1.6440927409 0.2226033051
169537 1.6871351154 0.2229798024
169853 2.9561064395 0.2235129371
169942 3.3682643375 0.2237760305
170262 1.8604899077 0.2248538751
170632 0.6631896634 0.2255422564
170730 0.5509689071 0.2256072490
170836 0.4183815953 0.2256656517
171255 0.3728637416 0.2258409536
171858 0.3692489935 0.2260657904
172128 0.3636008576 0.2261654876
173058 0.3723390131 0.2265036364
173444 0.3493780924 0.2266473593
173605 0.3378640106 0.2267036092
173622 0.3281945241 0.2267093529
174153 0.3066600042 0.2268836242
174430 0.3061340640 0.2269685690
174444 0.2918526738 0.2269728549
175967 0.2875215198 0.2274173465
176355 0.2945460838 0.2275289048
176577 0.3557798239 0.2275942941
176706 0.6555089403 0.2276401897
176740 1.0091247467 0.2276624770
178177 1.4826186486 0.2291125892
178983 0.3021900295 0.2303075798
180107 0.3084242330 0.2306472414
180580 0.2865566268 0.2307931261
181623 4.0965976894 0.2310920047
181858 4.1341054372 0.2320547051
182373 4.1223736918 0.2341837694
184168 0.0646140037 0.2415834302
184238 0.0332237530 0.2415879532
184419 0.0328585356 0.2415939667
184802 0.0325844536 0.2416065515
184828 0.0326092220 0.2416073987
184992 0.0326740962 0.2416127466
185418 0.0326563509 0.2416266658
185497 0.0341783174 0.2416292456
185545 0.0373753399 0.2416308862
185618 0.0629866342 0.2416336146
186020 1.2802136648 0.2416589352
186507 1.2752110258 0.2422823993
186530 1.2692919950 0.2423117291
186540 1.2656416341 0.2423244220
186737 1.2536422047 0.2425737534
187294 1.2938930590 0.2432720321
187664 1.9316194081 0.2437507726
187688 2.3232551747 0.2437971314
187697 2.7152815970 0.2438180407
188704 3.0737222944 0.2465523293
188706 3.4722532878 0.2465584768
189131 3.5443053280 0.2480341844
189234 3.4638405521 0.2483992478
189366 3.3837074047 0.2488564748
189396 3.3034212840 0.2489579860
191147 3.3111408848 0.2547422767
191306 3.3112846261 0.2552687481
191352 3.3447793766 0.2554210672
191398 3.3669522631 0.2555749270
192092 3.3637837999 0.2579115919
192933 3.3803981386 0.2607405341
194018 3.4097597786 0.2644082661
194392 25.9717193469 0.2656835162
195647 25.9712968069 0.2982780240
196064 6.8950341698 0.3091080548
196926 6.8200829778 0.3150515742
197240 6.7581845037 0.3171930803
198076 6.7692540700 0.3228429225
198934 6.7978720290 0.3286509425
199494 6.9313067976 0.3324577509
200165 6.9381747394 0.3371086577
200721 6.9690853355 0.3409662829
203240 6.8368450833 0.3585214088
203882 4.1833102006 0.3629106634
204107 0.7285928411 0.3638519082
204727 0.7392090915 0.3643036357
204886 0.9112172201 0.3644211700
204992 2.9149398984 0.3645177590
205032 5.3216044918 0.3646343566
205320 5.3296391813 0.3661669787
206865 5.1912598281 0.3744012712
207156 5.0976891391 0.3759119278
207398 4.9315909168 0.3771455686
208980 4.9309922926 0.3849473454
212997 4.9072855492 0.4047551415
213968 4.6119484109 0.4095201157
215842 2.2597443142 0.4181629071
215946 0.2661231479 0.4183979205
217006 0.2661679260 0.4186800110
217690 2.2504255219 0.4188620699
217703 4.3582640514 0.4188913254
218775 4.6466867149 0.4235633845
222333 4.6579539275 0.4400962958
225832 4.6821382139 0.4563944766
226806 4.6835949520 0.4609548792
227774 4.6866052156 0.4654885991
231535 4.7350150589 0.4831149213
231877 4.8138897920 0.4847342965
232814 5.6472273167 0.4892449112
232834 6.4016696988 0.4893578558
233323 7.9706973031 0.4924882723
234047 7.5309276227 0.4982590571
234526 8.2030742460 0.5018663714
234838 13.4809623898 0.5044257306
236233 14.7375777656 0.5232316731
236776 14.7080885923 0.5312341779
236922 14.7472754855 0.5333815588
236996 14.6779664420 0.5344728572
237362 14.6048974896 0.5398449929
237612 14.5201012510 0.5434962173
237785 14.4857066404 0.5460081948
238257 14.4491214552 0.5528454483
238297 14.4043427281 0.5534234132
238318 14.3806119525 0.5537259044
238763 14.3778784950 0.5601252767
239751 14.3074498432 0.5743306206
239971 14.2811041043 0.5774782596
244172 14.1171806466 0.6374731780
251936 13.8336064752 0.7470789685
252086 13.0055833656 0.7491540095
252550 7.0451151939 0.7551886001
256189 7.0327456999 0.7808257743
256935 7.0018916388 0.7860722026
256976 6.9456894951 0.7863592802
257692 6.3967162595 0.7913323939
258269 6.0104940100 0.7950232991
258474 5.8625970220 0.7962554504
258493 5.7516723060 0.7963668398
259290 5.7387534395 0.8009509226
261237 5.7392041520 0.8121242755
263842 5.7408811165 0.8270749024
270612 5.7472952265 0.8659406675
271308 5.7429474153 0.8699407850
271583 5.7426618543 0.8715200955
272123 5.7420603329 0.8746211329
273102 6.2548432192 0.8802426100
274016 12.0738827694 0.8859595367
274150 14.1762574090 0.8875774370
274478 14.1782260513 0.8922272494
276959 14.1731814416 0.9274034283
277842 14.1492427879 0.9399183475
281463 13.6751765560 0.9911527556
281497 13.1427746427 0.9916177116
282403 8.8581221662 1.0035250654
283225 8.1729762457 1.0108064419
283621 7.6790142651 1.0140429404
284570 7.6506251973 1.0213303250
285386 7.6211842264 1.0275732351
288235 7.6187126863 1.0492859890
289868 7.6187126863 1.0617273468
289946 7.6860415938 1.0623216064
292079 11.0154739706 1.0787159331
292631 11.7881328909 1.0847964748
292885 11.7864433576 1.0877906605
293617 12.1339170354 1.0964183371
293864 12.3416412224 1.0994154146
294751 12.5691427678 1.1103624503
295202 16.1473455589 1.1160311337
295355 60.4307139546 1.1185016776
295382 61.2287615572 1.1201333069
295459 61.9569392785 1.1248479215
295558 62.3337041045 1.1309816585
295908 62.3337041045 1.1527984549
296166 62.3337041045 1.1688805506
296188 62.3337041045 1.1702518921
296334 62.3337041045 1.1793526129
297306 11.7917693210 1.2399409733
297737 11.7084423740 1.2450232258
298490 11.6645576740 1.2538396829
299015 9.5399083226 1.2599635757
299070 6.9047499432 1.2604882707
299601 6.1327358397 1.2641546929
299634 5.2676075722 1.2643570732
299664 4.7389863321 1.2645151014
299725 4.4834252124 1.2648041796
299944 4.4674430021 1.2657860497
300036 4.4736125422 1.2661970545
300170 4.4710744933 1.2667965185
300507 4.4617246482 1.2683032706
300717 4.3558833828 1.2692402328
301008 3.6255111950 1.2705077949
301085 2.8260098106 1.2707869592
301110 2.0272125952 1.2708576095
301709 1.8864785742 1.2720719098
304785 1.8691417769 1.2778747179
305050 1.8620301732 1.2783700405
306935 2.7053395551 1.2818799674
308460 7.2651466479 1.2860056102
308610 9.0394917499 1.2870953822
308789 10.0022594024 1.2887134512
312747 10.0062866325 1.3283023939
313598 9.9710160164 1.3368177439
313607 9.9726300029 1.3369074830
316905 7.9276831267 1.3697972168
317428 7.9231935643 1.3739433950
318150 5.7355908226 1.3796639408
319819 5.7347918714 1.3892366419
320358 5.7370508502 1.3923276947
321836 5.7661342444 1.4008070558
324465 5.7820043738 1.4159662228
325226 5.7883832739 1.4203663281
325979 5.7961663366 1.4247249807
326242 5.8015240838 1.4262493724
328980 5.7488642256 1.4421339454
329191 5.7111722978 1.4433469557
330876 5.6768303664 1.4529702811
331720 5.1290393454 1.4577615259
332898 3.6532476862 1.4638035342
333052 2.7935151144 1.4643661344
335727 2.8161746980 1.4718387873
337456 2.8108670022 1.4767079534
337881 2.7664590113 1.4779025718
337984 2.7634272938 1.4781875171
339170 2.3395903521 1.4814649419
339564 2.3396219896 1.4823867405
345928 3.7416576225 1.4972760948
346278 5.1427029101 1.4985856750
348883 5.8680885671 1.5119824161
350171 5.8870285897 1.5195405142
350440 5.8863218424 1.5211241248
350921 5.8847931883 1.5239554457
351653 5.8832701444 1.5282631143
351661 5.8832701444 1.5283101804
352407 5.8795356786 1.5326991000
352916 4.0122789163 1.5356917836
352947 2.3496126343 1.5358161643
354058 0.7997435292 1.5384265839
354559 0.7724751284 1.5388272554
354734 0.7731426023 1.5389624386
354876 0.7715074681 1.5390722248
355059 0.7683102178 1.5392134107
355108 0.7676010167 1.5392510579
356253 0.7681359834 1.5401299610
356651 0.7703728338 1.5404356792
357802 1.0151862172 1.5413223783
359242 1.0151742590 1.5427842464
359773 1.0144131365 1.5433233040
359842 1.0126113101 1.5433932985
361813 0.7894055039 1.5453891554
362133 0.7898495805 1.5456417651
363205 0.7873036656 1.5464884839
363487 0.7873505269 1.5467105035
364149 0.7872670140 1.5472317296
364956 0.7872032376 1.5478670540
366199 0.7914181341 1.5488455477
366267 0.7954507007 1.5488993641
366334 0.7957236335 1.5489526593
367067 0.8264264157 1.5495359247
368098 0.8266480381 1.5503879704
369511 0.8347339657 1.5515560240
370031 0.8129021033 1.5519900857
370348 0.6481122551 1.5522477757
372198 0.1446038273 1.5534467833
372852 0.1415663836 1.5535413542
373097 0.1266084158 1.5535760380
373434 0.1203903737 1.5536187050
373606 0.1154443196 1.5536394122
373865 0.1124108138 1.5536693123
374057 0.1097965195 1.5536908951
374349 0.1063720196 1.5537229557
374433 0.1037145179 1.5537318910
379502 0.1163997222 1.5542576199
379732 0.1328987520 1.5542843918
383258 0.1393329587 1.5547529928
388443 7.3591067018 1.5554754342
391798 7.3804721550 1.5801652372
391896 7.3717971137 1.5808885234
394852 0.6823474547 1.6026795557
401461 0.7013806385 1.6071891900
401919 0.7097109268 1.6075104224
404249 0.7329686146 1.6091640488
404452 0.7648263373 1.6093128415
404473 0.7951902673 1.6093289028
404717 0.8189952060 1.6095229292
407403 0.6883307496 1.6117227504
407720 0.5561022008 1.6119409512
407820 0.4504454289 1.6119965614
409819 0.4505883136 1.6128970018
410008 0.4424130537 1.6129821630
411995 0.4405749748 1.6138612378
412877 0.4394355197 1.6142498249
415358 0.2677105942 1.6153400644
416001 0.1634166212 1.6155122023
420727 0.1557815262 1.6162845093
421592 0.1503775778 1.6164192603
421902 0.1429625073 1.6164658774
424285 0.1189721387 1.6168065570
427319 0.0845441110 1.6171675185
428851 0.0845441110 1.6172970401
430114 0.0844423176 1.6174038193
432038 0.0852169027 1.6175662863
433180 0.0892681980 1.6176636040
433321 0.0936295270 1.6176761908
436065 0.0936295270 1.6179331102
436433 0.0968795258 1.6179675659
437009 0.0998498128 1.6180233685
440830 0.2048762096 1.6184048946
441174 0.2432643141 1.6184753721
441205 0.2693050238 1.6184829133
441243 0.2917030660 1.6184931468
441507 0.2791418184 1.6185701565
441598 0.2699916951 1.6185955584
441609 0.2699916951 1.6185985283
442654 0.3619707880 1.6188806696
443739 0.3405371991 1.6192734079
443744 0.3162561141 1.6192751106
444342 0.1349576090 1.6194642317
450620 0.2755286994 1.6203114956
450937 0.3637583814 1.6203988382
451119 0.3639546733 1.6204650422
451654 0.3640137368 1.6206597580
453492 0.3639498945 1.6213288152
453777 0.3637891921 1.6214325409
459897 0.3619282454 1.6236589308
460067 0.3602894366 1.6237204586
462459 0.3584109573 1.6245822709
463927 0.3584315617 1.6251084182
465161 0.3577862156 1.6255507228
465857 0.3576926418 1.6257997420
465887 0.3573447412 1.6258104728
466752 0.3570811570 1.6261195760
467697 0.3567273329 1.6264570176
468471 0.3566170688 1.6267331246
473493 0.3567085410 1.6285240555
474670 0.3575908214 1.6289439015
475495 0.3612873418 1.6292389139
475967 0.3675852480 1.6294094415
478458 0.6250383666 1.6303250964
478812 0.8945459348 1.6305463600
478966 1.0135590777 1.6306841200
479074 1.0616771592 1.6307935844
479174 1.0765752425 1.6308997521
479221 1.0911404772 1.6309503512
479978 1.0886352351 1.6317763445
480059 1.0857077108 1.6318645240
480103 1.0846194723 1.6319122951
480332 1.0589701423 1.6321606730
480925 0.9299460430 1.6327886423
483497 27.1359464536 1.6351804635
484145 27.0295512133 1.6527645568
484429 18.6746521357 1.6604409493
484536 15.9237252408 1.6624391371
484785 12.9091042769 1.6664041447
484859 2.1943124206 1.6673594184
485678 2.2296914971 1.6691565603
485820 2.2294469203 1.6694731765
486203 2.2488486455 1.6703270546
486235 2.2480742471 1.6703990178
486247 2.2584954075 1.6704259947
486829 2.2204440778 1.6717404390
487018 2.1955094604 1.6721601029
487123 2.1622146675 1.6723906314
487650 1.2954838373 1.6735301186
487833 0.4593621863 1.6737671921
489262 0.4237976502 1.6744236207
489335 0.3907905733 1.6744545579
489589 0.3900989852 1.6745538187
490382 0.7264665527 1.6748631672
490700 1.6886459800 1.6750941836
491301 2.0723975629 1.6761090598
491616 2.0858868137 1.6767618650
491744 2.1008722131 1.6770288585
492015 2.0985073651 1.6775981949
492363 5.0438601664 1.6783284755
492417 17.9199613564 1.6786008439
493600 18.1554204759 1.6998001582
493905 18.1554204759 1.7053375615
495749 18.1554204759 1.7388161568
495972 18.1554204759 1.7428648156
496187 18.1554204759 1.7467682310
497364 18.1475186006 1.7681371609
497598 18.1476018479 1.7723836802
497907 17.3393519375 1.7779912892
497918 16.6941930945 1.7781820221
498600 10.8198474901 1.7895674618
498788 8.1481411976 1.7916015931
498815 5.8383355219 1.7918215929
498818 3.5767452525 1.7918391079
499921 3.5908655581 1.7957842579
501233 3.5844630928 1.8004954735
501269 3.5718725530 1.8006245142
501928 3.5659445604 1.8029783782
502791 3.5737118526 1.8060557884
502965 3.5825419873 1.8066776142
503352 3.5748175460 1.8080640580
504094 3.5828947818 1.8107165726
504783 3.6415284675 1.8131851871
509125 11.6461959315 1.8289967037
509189 16.2840410969 1.8297420603
509916 16.3075596347 1.8415805581
510314 16.3093400450 1.8480709669
510445 16.3093400450 1.8502074904
511033 10.8181235079 1.8597973824
512110 10.8080688967 1.8714485014
512373 10.7039156557 1.8742910235
512893 8.5743685098 1.8798570596
513077 6.7720067426 1.8814347435
513308 5.6095880732 1.8829990770
513985 1.8564154670 1.8867967681
520872 2.7092969982 1.8995819015
521036 7.0081707127 1.9000262262
521741 7.0041164124 1.9049669865
522282 7.0038583248 1.9087562135
522308 7.0355695347 1.9089383138
527657 12.3649642122 1.9465715753
529248 12.8073897139 1.9662442333
531104 7.7245974654 1.9900147486
531587 6.8751672222 1.9937457292
532863 6.8751672222 2.0025184426
534955 6.8525799539 2.0169012924
535162 6.7494293414 2.0183197765
536089 1.6252992246 2.0245764975
539694 2.1175783229 2.0304357012
539769 2.7626577015 2.0305945195
539820 3.3769323520 2.0307354151
540038 4.1702451564 2.0314715863
540470 5.7677917876 2.0332731322
540525 7.0879303037 2.0335903608
540801 7.1803657361 2.0355466296
541076 7.1841476912 2.0375212301
541308 7.1849309679 2.0391879524
541318 7.1868946957 2.0392598017
541488 7.1186534706 2.0404815738
541620 6.3122411827 2.0414212361
541641 5.0673888385 2.0415537931
541661 2.9244555451 2.0416551409
542780 2.5553804630 2.0449276067
543579 2.5215870735 2.0469693556
545738 2.4568699323 2.0524134621
546195 1.8937827193 2.0535362517
546278 1.4525286970 2.0536934357
546427 1.1539707145 2.0539098624
546536 0.9992173466 2.0540356452
546694 0.7125963317 2.0541935216
548847 0.9301233579 2.0557277415
548964 1.1408015273 2.0558365659
549035 1.2950344115 2.0559175628
550622 3.3259377427 2.0579727824
550878 3.6760481954 2.0588242225
551024 4.2939989009 2.0593609255
551206 4.4112199160 2.0601424333
551620 4.3317149864 2.0619686784
552435 4.0920210142 2.0654990261
553889 4.0441931019 2.0714488247
553937 3.9337140955 2.0716429459
554714 3.0443667460 2.0746994418
557367 2.9686919985 2.0827761468
558661 2.4833226922 2.0866176342
559929 2.1782889772 2.0897664874
565808 2.2816581190 2.1025726483
567392 2.7467251397 2.1061867947
567611 3.3757622908 2.1067883275
569825 3.4993785592 2.1142622652
573267 4.3603825012 2.1263071262
574081 4.5757262321 2.1298564776
574164 4.7070136502 2.1302362629
574289 4.7386203805 2.1308246396
574502 4.7361637439 2.1318339657
575307 4.7350279537 2.1356465775
576890 4.7605421285 2.1431421268
578970 4.8043497485 2.1530440544
579117 4.8378367381 2.1537502938
579425 4.8498177860 2.1552403475
580959 5.1246520035 2.1626799680
582349 5.1258231067 2.1698032343
583054 5.1280013103 2.1734169396
586921 5.1557867339 2.1932469207
589893 5.7342670210 2.2085699188
591677 5.8205806836 2.2187998512
591919 5.9486449933 2.2202084317
593853 11.5209872892 2.2317131112
596989 11.5206330740 2.2678429273
600097 2.7494548692 2.3036490549
606378 2.7401110858 2.3209183809
607286 2.7433237324 2.3234064018
607441 2.7438391441 2.3238316170
607483 2.7436897284 2.3239468582
608793 2.8210600467 2.3275410918
609269 3.1220966989 2.3288839163
613551 16.2407840814 2.3422527344
613733 16.2408249915 2.3452085571
615979 16.3050096203 2.3816854500
616361 23.5164014369 2.3879139637
616559 23.6597317523 2.3925702112
616646 23.6597317523 2.3946286079
616663 23.6597317523 2.3950308233
617301 23.6184799537 2.4101257322
617942 1.6556828912 2.4252651778
618581 1.5546989117 2.4263231592
618749 1.5498634380 2.4265843486
619575 1.6300393815 2.4278645358
619591 1.7172618852 2.4278906164
620063 1.7215442789 2.4287011640
620567 1.6013511949 2.4295688223
621424 1.5681189732 2.4309411803
621542 1.5686690258 2.4311262184
621640 1.5460108031 2.4312799479
621709 1.5263716054 2.4313866227
621748 1.5109505640 2.4314461512
622962 1.5118044445 2.4332804451
623322 1.5135017369 2.4338246947
623903 1.5328281649 2.4347040393
624442 1.6465180070 2.4355302336
624575 1.6456767981 2.4357492205
624762 1.6448499820 2.4360569621
626578 1.6674170031 2.4390440097
626767 1.6735884456 2.4393591515
627271 1.6710471865 2.4402026400
628165 1.6642999527 2.4416965562
629164 1.6654905018 2.4433591919
630306 1.6634918373 2.4452611820
631616 20.1423354072 2.4474403563
635772 20.7668747359 2.5311519023
639592 20.7668747359 2.6104813638
639821 20.7668747359 2.6152369781
640275 20.7668747359 2.6246651392
642061 20.7599316051 2.6617547775
642894 20.7481290103 2.6790478005
643019 20.7481290103 2.6816413167
643060 20.7481290103 2.6824919900
643670 20.7340034848 2.6951483487
646987 2.5641604015 2.7639230382
649011 2.5908639232 2.7691128989
649631 2.5954370198 2.7707192345
650570 2.6119415927 2.7731563499
650921 2.6146937859 2.7740731414
652353 2.4865434717 2.7778173829
652452 2.3381505994 2.7780635507
652699 2.1778530085 2.7786410739
654759 6.0646951823 2.7831274511
654793 9.8081361297 2.7833336507
655880 16.7861073294 2.7939950947
657689 9.5919931542 2.8243611628
657972 0.7386396817 2.8270756969
661177 0.7974569044 2.8294430371
661430 0.8458778386 2.8296447937
661786 0.8957664017 2.8299459262
662462 1.0358109008 2.8305514643
662547 1.1724847985 2.8306395082
662613 1.3108949326 2.8307168922
663175 1.4359435463 2.8314536151
664233 1.9581667221 2.8329728434
665428 1.9812201493 2.8353128526
665522 1.9946580226 2.8354990873
665569 2.0068047614 2.8355928363
665649 2.0170196511 2.8357533806
665818 2.0244629240 2.8360942570
665920 2.0368771434 2.8363007522
666703 2.0351746437 2.8378956270
667383 2.0346807316 2.8392795457
667740 2.0381740787 2.8400059268
667854 2.0424617194 2.8402382786
668604 2.0425306817 2.8417701249
668682 2.0134447092 2.8419294423
668916 2.0134204608 2.8424005884
669928 2.0138032386 2.8444381699
671060 1.5105854559 2.8467177951
671155 1.1817959442 2.8468613007
672578 1.1822349358 2.8485429964
673200 1.1825552935 2.8492783465
673460 1.1825399827 2.8495858109
675331 1.1827226124 2.8517983432
677990 1.1824376099 2.8549432026
678289 1.1826141948 2.8552967515
679211 1.1827567151 2.8563871217
679474 1.1827913414 2.8566981868
679744 1.1828491440 2.8570175404
679927 1.1828106002 2.8572340018
680764 1.1828898215 2.8582240143
681838 1.5532046406 2.8594944380
681963 2.8681404135 2.8596885885
681994 4.2559660860 2.8597775009
682646 1.2023420485 2.8625523908
683538 1.2016015752 2.8636248799
683858 1.2015620921 2.8640093924
685032 1.2015141974 2.8654200263
685052 1.2008793635 2.8654440566
685859 1.2008793635 2.8664131662
687206 1.2009191532 2.8680307507
687308 1.1992880208 2.8681532445
687452 1.1960024207 2.8683259420
687518 1.1950217230 2.8684048781
688833 47.9407693694 2.8699763317
688919 57.8367729651 2.8740992378
689847 57.8367729651 2.9277717632
690252 57.8367729651 2.9511956562
690631 57.8367729651 2.9731157932
690716 57.7641310104 2.9780319189
690831 21.4273609982 2.9846747939
690931 4.2134471894 2.9868175300
691018 3.9733510563 2.9871840999
691220 3.8293488348 2.9879867168
691272 3.6283974174 2.9881858430
691770 3.5192279892 2.9899927849
691827 3.3706501876 2.9901933809
692032 2.7537520469 2.9908843642
692050 2.1739005501 2.9909339317
692308 2.1107796738 2.9914947981
692382 2.0721550213 2.9916509958
692415 2.0364357794 2.9917193769
692450 2.0052038712 2.9917906521
692570 1.9783379966 2.9920312766
692847 1.9347562027 2.9925792762
693444 1.8843272669 2.9937343257
693898 1.8505159720 2.9945898102
693963 1.8158875564 2.9947100938
694098 1.7879419570 2.9949552386
694885 1.8027514647 2.9963623489
694952 1.8186775781 2.9964831333
695835 1.8188800034 2.9980890256
695993 1.8188754268 2.9983764086
696610 1.8024810730 2.9994986548
696974 1.7821015225 3.0001547579
698204 1.8067100401 3.0023467427
698738 1.8175758110 3.0033115259
700132 2.5386555615 3.0058452266
700368 3.9707490759 3.0064443493
